Imagem;SIFT_SIFT_Inliers;SIFT_SIFT_Outliers;SIFT_SIFT_Diferenca;SIFT_SIFT_Tempo;SIFT_SIFT_45_Inliers;SIFT_SIFT_45_Outliers;SIFT_SIFT_45_Diferenca;SIFT_SIFT_45_Tempo;ORB_ORB_Inliers;ORB_ORB_Outliers;ORB_ORB_Diferenca;ORB_ORB_Tempo;ORB_ORB_45_Inliers;ORB_ORB_45_Outliers;ORB_ORB_45_Diferenca;ORB_ORB_45_Tempo;AKAZE_AKAZE_Inliers;AKAZE_AKAZE_Outliers;AKAZE_AKAZE_Diferenca;AKAZE_AKAZE_Tempo;AKAZE_AKAZE_45_Inliers;AKAZE_AKAZE_45_Outliers;AKAZE_AKAZE_45_Diferenca;AKAZE_AKAZE_45_Tempo;FAST_BRIEF_Inliers;FAST_BRIEF_Outliers;FAST_BRIEF_Diferenca;FAST_BRIEF_Tempo;FAST_BRIEF_45_Inliers;FAST_BRIEF_45_Outliers;FAST_BRIEF_45_Diferenca;FAST_BRIEF_45_Tempo;FAST_SIFT_Inliers;FAST_SIFT_Outliers;FAST_SIFT_Diferenca;FAST_SIFT_Tempo;FAST_SIFT_45_Inliers;FAST_SIFT_45_Outliers;FAST_SIFT_45_Diferenca;FAST_SIFT_45_Tempo;
1;14;23;55.610455078990924;0:00:10.108700;14;19;36.44012617710659;0:00:05.478265;6;147;128.5239554744976;0:00:00.164760;7;149;137.1267002965309;0:00:00.048825;8;2372;69.39695224872585;0:00:00.547340;7;1740;58.43642704303124;0:00:00.425162;11;8010;82.43830916788451;0:00:04.783325;14;5010;42.40596085474741;0:00:01.780164;14;23;55.610455078990924;0:00:10.468808;14;19;36.44012617710659;0:00:06.000349;
2;12;40;53.95866572975654;0:00:14.509657;15;39;41.897316613149165;0:00:11.852781;6;144;122.63664458586176;0:00:00.075673;8;140;144.715856335666;0:00:00.074274;9;3754;62.643786355047794;0:00:01.064880;7;3161;77.96672194889385;0:00:00.826989;23;9506;56.54443971962908;0:00:08.073312;15;7077;52.86399552910414;0:00:03.884272;12;40;53.95866572975654;0:00:13.966603;15;39;41.897316613149165;0:00:11.640335;
3;10;16;57.87522089770108;0:00:12.049470;8;19;46.32218025252408;0:00:06.609238;7;156;108.82466625407893;0:00:00.068615;8;149;160.42930169430872;0:00:00.048154;7;2679;81.55349985193271;0:00:00.808264;9;1809;61.28198578893816;0:00:00.509702;31;9680;55.985264049546764;0:00:08.794820;70;6030;68.18496746200219;0:00:03.098163;10;16;57.87522089770108;0:00:12.411338;8;19;46.32218025252408;0:00:06.540517;
4;9;29;61.315853278062434;0:00:12.786739;10;23;39.753775715719875;0:00:07.293018;6;138;78.40869344636651;0:00:00.069010;8;157;164.44633424476342;0:00:00.054841;7;3229;94.70080896262873;0:00:00.768270;7;2513;87.44374830487025;0:00:00.603826;43;8986;64.94700323709621;0:00:06.640471;16;5796;66.88080328907546;0:00:02.542055;9;29;61.315853278062434;0:00:13.113183;10;23;39.753775715719875;0:00:07.170691;
5;10;25;64.98898413386868;0:00:12.047357;7;27;96.99937941972347;0:00:08.168758;7;150;121.8146010761632;0:00:00.068244;7;142;108.05643826556873;0:00:00.056867;7;3063;80.74480787774569;0:00:00.749277;7;2495;74.01994916450982;0:00:00.591442;11;8802;61.26696049859322;0:00:07.813252;14;6176;59.48769739237377;0:00:03.453134;10;25;64.98898413386868;0:00:12.460759;7;27;96.99937941972347;0:00:08.282703;
6;7;15;66.1287330366703;0:00:19.875151;13;15;43.48438328985685;0:00:12.365958;8;149;155.36878322666638;0:00:00.076489;8;138;153.169745126095;0:00:00.063032;8;2933;135.01763897515923;0:00:00.774251;6;2333;58.735381965461535;0:00:00.581962;12;10712;67.88858149277867;0:00:12.635491;11;7037;49.14784022775749;0:00:05.269666;7;15;66.1287330366703;0:00:20.735832;13;15;43.48438328985685;0:00:12.234187;
7;53;30;53.82722331660522;0:00:16.021527;44;27;37.218770401718146;0:00:10.665613;11;154;56.49607749099847;0:00:00.075408;8;148;174.3348506219109;0:00:00.061408;59;3103;62.29356901039529;0:00:00.755182;204;2373;37.36272634051851;0:00:00.595897;1477;10718;53.66400674031716;0:00:11.864900;1433;6888;36.71372394029972;0:00:04.621916;53;30;53.82722331660522;0:00:16.758310;44;27;37.218770401718146;0:00:11.323172;
8;50;34;56.69233373856017;0:00:13.152401;40;38;36.035899663040766;0:00:07.253779;12;141;59.93795556169593;0:00:00.070717;11;128;40.170664672052204;0:00:00.055582;391;2680;57.792105607361805;0:00:00.745881;403;2165;35.534094261387736;0:00:00.581795;1770;9285;56.7765712826477;0:00:10.134570;1748;5643;35.32707355065345;0:00:03.644213;50;34;56.69233373856017;0:00:13.634299;40;38;36.035899663040766;0:00:07.364169;
9;55;55;57.51743258691946;0:00:17.072747;70;29;34.607711162914214;0:00:12.346056;27;145;57.19419972606137;0:00:00.074796;26;147;35.25110682417477;0:00:00.062259;268;3409;56.643822593312116;0:00:00.903625;305;2975;34.678952193236015;0:00:00.765162;2072;9522;54.75104199165501;0:00:10.819224;1671;6730;34.2281963140023;0:00:04.758163;55;55;57.51743258691946;0:00:17.793565;70;29;34.607711162914214;0:00:12.539851;
10;16;31;55.47605924729728;0:00:15.369352;23;36;41.519505528883315;0:00:08.674728;7;158;111.57716117364414;0:00:00.070788;9;154;79.09254233506918;0:00:00.055807;146;2788;54.21391277563022;0:00:00.726872;30;2269;58.453786870310616;0:00:00.549379;142;10249;62.13585442183265;0:00:10.243072;377;6222;40.77773543688908;0:00:03.864780;16;31;55.47605924729728;0:00:16.054544;23;36;41.519505528883315;0:00:08.907531;
11;9;26;87.5340869004903;0:00:14.778573;6;21;143.5748526829622;0:00:07.657968;9;148;129.50682553370754;0:00:00.075434;7;140;73.36451107503642;0:00:00.054481;10;3357;65.7663492609942;0:00:00.870159;9;2207;58.468527916769766;0:00:00.544847;75;10052;69.46279321144064;0:00:09.164244;71;6423;49.5649398190012;0:00:03.927922;9;26;87.5340869004903;0:00:15.519047;6;21;143.5748526829622;0:00:08.358725;
12;12;15;85.20581125866251;0:00:20.297801;9;31;79.65708013582554;0:00:12.076088;9;156;131.8765401970116;0:00:00.078649;8;158;151.56830544780018;0:00:00.060700;7;3695;87.00812529832868;0:00:01.024449;7;2673;92.70375332160496;0:00:00.713706;14;10915;80.33297359306354;0:00:10.341132;10;7351;75.47628743511794;0:00:04.487887;12;15;85.20581125866251;0:00:20.306317;9;31;79.65708013582554;0:00:12.317186;
13;0;0;0;0:00:24.972151;0;0;0;0:00:15.491624;8;141;115.93302092929632;0:00:00.074294;9;134;94.16155188102071;0:00:00.062076;8;3431;95.2131529045252;0:00:00.926750;8;2764;161.6286064858566;0:00:00.738442;233;12331;68.96686407083675;0:00:13.464790;31;8739;65.95501076106584;0:00:05.935363;0;0;0;0:00:25.224857;0;0;0;0:00:15.573584;
14;5;30;82.363285768724;0:00:17.427434;7;29;126.89286496886623;0:00:10.538467;7;151;110.12764192518044;0:00:00.077054;8;154;73.65770241477071;0:00:00.059467;6;3440;79.79054962688744;0:00:00.931582;7;2701;71.5014062145226;0:00:00.663766;15;10590;86.90865466009923;0:00:10.575541;12;7048;85.37078652321598;0:00:04.718958;5;30;82.363285768724;0:00:18.280594;7;29;126.89286496886623;0:00:10.867684;
