Imagem;SIFT_SIFT_Inliers;SIFT_SIFT_Outliers;SIFT_SIFT_Diferenca;SIFT_SIFT_Tempo;SIFT_SIFT_45_Inliers;SIFT_SIFT_45_Outliers;SIFT_SIFT_45_Diferenca;SIFT_SIFT_45_Tempo;ORB_ORB_Inliers;ORB_ORB_Outliers;ORB_ORB_Diferenca;ORB_ORB_Tempo;ORB_ORB_45_Inliers;ORB_ORB_45_Outliers;ORB_ORB_45_Diferenca;ORB_ORB_45_Tempo;AKAZE_AKAZE_Inliers;AKAZE_AKAZE_Outliers;AKAZE_AKAZE_Diferenca;AKAZE_AKAZE_Tempo;AKAZE_AKAZE_45_Inliers;AKAZE_AKAZE_45_Outliers;AKAZE_AKAZE_45_Diferenca;AKAZE_AKAZE_45_Tempo;FAST_BRIEF_Inliers;FAST_BRIEF_Outliers;FAST_BRIEF_Diferenca;FAST_BRIEF_Tempo;FAST_BRIEF_45_Inliers;FAST_BRIEF_45_Outliers;FAST_BRIEF_45_Diferenca;FAST_BRIEF_45_Tempo;FAST_SIFT_Inliers;FAST_SIFT_Outliers;FAST_SIFT_Diferenca;FAST_SIFT_Tempo;FAST_SIFT_45_Inliers;FAST_SIFT_45_Outliers;FAST_SIFT_45_Diferenca;FAST_SIFT_45_Tempo;
1;28;58;45.1550453393075;0:00:05.764275;27;42;37.75418189169243;0:00:03.908477;7;125;121.75096057854867;0:00:00.125059;7;123;118.64903402144219;0:00:00.054796;76;1655;46.20145772554385;0:00:00.443916;123;1376;37.82200669878057;0:00:00.389484;1415;6253;44.88271180151228;0:00:03.692087;1042;4312;37.40374899095983;0:00:01.649807;28;58;45.1550453393075;0:00:06.047590;27;42;37.75418189169243;0:00:04.006500;
2;47;34;37.6752337580879;0:00:10.450621;51;44;28.97992165832896;0:00:06.983915;9;140;73.31532037977296;0:00:00.084268;8;141;153.1442667826053;0:00:00.059278;76;2794;49.39643820935697;0:00:00.727740;54;2275;34.06677526685045;0:00:00.603973;2086;7672;37.197798873198096;0:00:05.627214;1704;5262;29.234157550112776;0:00:02.354473;47;34;37.6752337580879;0:00:10.941261;51;44;28.97992165832896;0:00:06.862149;
3;65;54;35.31259199054029;0:00:10.170010;97;39;28.081875907789996;0:00:07.013835;37;128;36.017635875999176;0:00:00.065054;37;108;28.56345079968597;0:00:00.056245;452;2692;35.09673493293604;0:00:00.719728;483;2167;27.875286788946873;0:00:00.573784;3272;6869;35.121179666611745;0:00:04.660127;2501;4769;28.083003678929302;0:00:02.239888;65;54;35.31259199054029;0:00:10.367972;97;39;28.081875907789996;0:00:07.087992;
4;20;63;42.365102925558794;0:00:06.980478;31;87;34.886066730266776;0:00:06.553024;9;136;65.89681136383462;0:00:00.120365;9;144;137.00878401486526;0:00:00.078929;14;2582;48.416478474040495;0:00:00.838794;20;2401;62.44610583187141;0:00:00.774060;503;7280;41.65134425612105;0:00:07.366675;484;5077;34.981773584539916;0:00:02.725647;20;63;42.365102925558794;0:00:07.886984;31;87;34.886066730266776;0:00:05.792253;
5;65;44;31.31185122005591;0:00:06.709718;86;48;25.165325433627658;0:00:05.533853;7;147;63.44839875882867;0:00:00.058486;8;135;165.77290676953453;0:00:00.051720;383;2049;31.133876611175804;0:00:00.614099;259;1841;25.091661693581326;0:00:00.492607;1731;5910;31.20239234251012;0:00:03.912139;1280;4424;24.833607026104197;0:00:02.057508;65;44;31.31185122005591;0:00:07.097849;86;48;25.165325433627658;0:00:05.624326;
6;9;57;65.33618933816658;0:00:13.540277;14;62;36.86316515304872;0:00:08.793218;8;146;70.66280542936303;0:00:00.070537;9;144;104.31576968822563;0:00:00.063417;7;3034;112.90814169070133;0:00:00.853239;8;2777;70.6087492609603;0:00:00.756996;19;9318;58.43408804230284;0:00:08.160007;25;6450;64.01410648541098;0:00:03.108585;9;57;65.33618933816658;0:00:13.760868;14;62;36.86316515304872;0:00:09.780007;
7;6;69;98.6465555557094;0:00:16.389725;9;45;33.158331729484466;0:00:11.805306;7;134;134.47896419517016;0:00:00.076910;10;137;77.9840028190817;0:00:00.057924;7;3287;64.36949216375596;0:00:01.078316;12;2665;64.34848128204524;0:00:00.742710;18;9646;58.88121156820419;0:00:07.664975;35;6708;49.68101038324834;0:00:03.884598;6;69;98.6465555557094;0:00:16.507832;9;45;33.158331729484466;0:00:10.640078;
8;16;32;33.00085500144692;0:00:20.587986;17;41;26.219027832200947;0:00:12.401019;8;140;151.34030026820045;0:00:00.067452;9;142;113.4951489917906;0:00:00.055055;35;2560;49.505729548157696;0:00:00.660035;92;2139;29.741675332065945;0:00:00.545749;495;9429;32.41163369661087;0:00:11.435289;321;6668;26.8386574192664;0:00:05.116026;16;32;33.00085500144692;0:00:22.270202;17;41;26.219027832200947;0:00:15.837371;
9;42;80;41.3394861129765;0:00:12.662516;18;67;35.99187852471751;0:00:10.298138;8;145;78.75428158416884;0:00:00.080667;8;123;101.24626741676025;0:00:00.061802;14;3152;74.13417084244297;0:00:00.922264;16;2578;53.749846653586644;0:00:00.722813;143;7314;55.79749619576279;0:00:04.958438;187;5543;37.137610232878856;0:00:02.669851;42;80;41.3394861129765;0:00:12.541508;18;67;35.99187852471751;0:00:08.665990;
10;10;83;84.39111573881125;0:00:11.041114;9;65;37.65091087077224;0:00:06.675636;8;151;141.9025049119314;0:00:00.063355;8;151;136.1348188435396;0:00:00.052877;10;2897;62.3779141010854;0:00:00.774936;8;2214;57.56512341790117;0:00:00.869590;33;7243;61.00288969719795;0:00:06.573569;45;5128;51.42032978825041;0:00:03.968930;10;83;84.39111573881125;0:00:12.018204;9;65;37.65091087077224;0:00:07.004525;
11;22;59;43.722639607543954;0:00:11.378632;17;61;33.63186891547047;0:00:07.408456;7;143;160.0996897071672;0:00:00.063213;8;148;152.20357203681422;0:00:00.051778;7;2497;71.86221738221403;0:00:00.640316;7;1922;65.56806434595505;0:00:00.483202;13;8147;58.048612543805845;0:00:06.034800;36;5883;65.73107954490385;0:00:03.011668;22;59;43.722639607543954;0:00:15.656775;17;61;33.63186891547047;0:00:08.589611;
12;36;87;43.12224789918875;0:00:11.079602;38;88;34.58342875657174;0:00:08.030898;17;155;56.13244214720979;0:00:00.093931;16;139;51.47458880315028;0:00:00.080741;65;3261;45.80577897901058;0:00:01.202994;20;2790;57.96250178269533;0:00:01.027136;539;6997;43.77587054378092;0:00:06.732080;298;5424;36.30646990325676;0:00:03.803011;36;87;43.12224789918875;0:00:12.805431;38;88;34.58342875657174;0:00:08.401191;
13;12;76;65.40746461263242;0:00:12.117789;8;61;42.74254417969015;0:00:08.084128;8;133;67.59288292641726;0:00:00.068396;7;136;69.57760436209969;0:00:00.056276;7;3276;77.49060121486359;0:00:01.507327;8;2544;78.79268118761432;0:00:00.713971;29;7831;78.74973726878615;0:00:04.597930;37;5509;59.86310007601551;0:00:02.490331;12;76;65.40746461263242;0:00:12.718625;8;61;42.74254417969015;0:00:08.962180;
14;241;84;35.20531319360694;0:00:11.528181;226;71;26.915599934092196;0:00:06.988680;38;103;35.665711741973716;0:00:00.074422;40;116;27.384547112310496;0:00:00.056972;1745;2304;35.13689369320471;0:00:01.019060;1556;1784;26.306435287813564;0:00:00.750329;5770;5383;34.837841187115856;0:00:06.885719;4008;3898;26.462521859652377;0:00:02.897102;241;84;35.20531319360694;0:00:11.659789;226;71;26.915599934092196;0:00:07.139740;
15;652;96;29.760786518254108;0:00:12.348110;556;79;22.788263564753724;0:00:08.664011;72;97;30.10494363913539;0:00:00.071454;67;99;23.063237568555884;0:00:00.058709;2986;1825;29.718182523078116;0:00:00.918065;2686;1336;22.816857997759687;0:00:00.728472;10137;4028;29.837745648492636;0:00:06.313387;7162;2787;22.88940781284399;0:00:02.983117;652;96;29.760786518254108;0:00:13.242705;556;79;22.788263564753724;0:00:07.666220;
16;676;217;34.8615963811631;0:00:15.402953;783;83;27.33387494963453;0:00:10.602646;84;81;35.22954954231461;0:00:00.082241;89;84;27.514679024841428;0:00:00.073182;3484;2189;34.793806189518165;0:00:01.417457;2767;1904;27.434926428337032;0:00:01.172417;10695;3868;34.8804728746464;0:00:07.276074;7005;3257;27.646251632118148;0:00:03.645826;676;217;34.8615963811631;0:00:15.215945;783;83;27.33387494963453;0:00:09.802113;
17;336;120;35.23100062169336;0:00:15.077178;373;74;27.22223737609402;0:00:10.050794;57;103;36.12834644797091;0:00:00.073695;70;109;27.31724776765007;0:00:00.060079;1896;2490;34.954968077638284;0:00:01.218339;1637;2000;26.999581153137335;0:00:00.948643;6496;6778;35.37915125702521;0:00:07.694612;5668;3979;27.369679087149226;0:00:03.931807;336;120;35.23100062169336;0:00:16.420774;373;74;27.22223737609402;0:00:09.939303;
18;522;114;30.890248275804776;0:00:12.846978;578;81;24.431291114492655;0:00:09.292193;38;118;33.33230617774892;0:00:00.069749;41;111;24.768716916290167;0:00:00.060248;2580;2193;30.82442008748015;0:00:01.065015;2123;1934;24.056091556462633;0:00:00.834733;8429;5138;31.048171543059535;0:00:05.370991;6800;3230;24.29202280188474;0:00:02.834341;522;114;30.890248275804776;0:00:12.799244;578;81;24.431291114492655;0:00:09.142068;
19;102;74;29.964517093798158;0:00:09.442726;64;74;23.325475166188742;0:00:05.704640;16;135;48.68075838282188;0:00:00.058643;26;120;27.690132937148046;0:00:00.046688;601;1796;29.58286660177425;0:00:00.525676;389;1381;22.77732508470399;0:00:00.412159;2359;6067;30.051752164503664;0:00:04.255009;1337;4489;24.718492677449145;0:00:02.028249;102;74;29.964517093798158;0:00:09.687444;64;74;23.325475166188742;0:00:05.739685;
20;336;93;41.421634790458874;0:00:12.083732;274;108;32.19129255449509;0:00:08.389355;35;109;41.94205513270869;0:00:00.070572;43;100;32.55837063724262;0:00:00.057293;1855;2399;41.581311676065916;0:00:00.929653;1655;1730;32.07673274524003;0:00:00.698412;8010;5647;41.408904615069346;0:00:06.147582;5702;4447;32.19474856034372;0:00:03.345639;336;93;41.421634790458874;0:00:12.144687;274;108;32.19129255449509;0:00:08.388967;
21;47;48;26.6717465983404;0:00:09.752334;56;59;20.840735730475853;0:00:06.126399;9;110;35.8603613021499;0:00:00.051895;14;122;26.829467019098033;0:00:00.044316;238;1189;26.26083982603663;0:00:00.355041;129;986;21.135515998565538;0:00:00.306355;3999;8543;27.295882423801025;0:00:06.296900;3313;6194;20.328980325966704;0:00:03.277420;47;48;26.6717465983404;0:00:10.063258;56;59;20.840735730475853;0:00:06.187848;
