Imagem;SIFT_SIFT_Inliers;SIFT_SIFT_Outliers;SIFT_SIFT_Distancia;SIFT_SIFT_Tempo;SIFT_SIFT_45_Inliers;SIFT_SIFT_45_Outliers;SIFT_SIFT_45_Distancia;SIFT_SIFT_45_Tempo;ORB_ORB_Inliers;ORB_ORB_Outliers;ORB_ORB_Distancia;ORB_ORB_Tempo;ORB_ORB_45_Inliers;ORB_ORB_45_Outliers;ORB_ORB_45_Distancia;ORB_ORB_45_Tempo;AKAZE_AKAZE_Inliers;AKAZE_AKAZE_Outliers;AKAZE_AKAZE_Distancia;AKAZE_AKAZE_Tempo;AKAZE_AKAZE_45_Inliers;AKAZE_AKAZE_45_Outliers;AKAZE_AKAZE_45_Distancia;AKAZE_AKAZE_45_Tempo;FAST_BRIEF_Inliers;FAST_BRIEF_Outliers;FAST_BRIEF_Distancia;FAST_BRIEF_Tempo;FAST_BRIEF_45_Inliers;FAST_BRIEF_45_Outliers;FAST_BRIEF_45_Distancia;FAST_BRIEF_45_Tempo;FAST_SIFT_Inliers;FAST_SIFT_Outliers;FAST_SIFT_Distancia;FAST_SIFT_Tempo;FAST_SIFT_45_Inliers;FAST_SIFT_45_Outliers;FAST_SIFT_45_Distancia;FAST_SIFT_45_Tempo;
101;13;53;-1;0:00:24.595098;12;48;-1;0:00:20.231916;9;125;-1;0:00:00.172173;11;136;-1;0:00:00.080941;8;4420;2.0344497066467446;0:00:01.341881;7;4055;-1;0:00:01.250493;8;84;-1;0:00:11.244474;8;144;-1;0:00:08.739438;13;53;-1;0:00:24.738643;12;48;-1;0:00:20.280243;
102;6;43;-1;0:00:13.895896;6;28;-1;0:00:10.645329;9;153;-1;0:00:00.076214;7;149;-1;0:00:00.068367;7;3552;-1;0:00:01.021509;7;3291;-1;0:00:00.919514;6;125;-1;0:00:08.917739;5;31;-1;0:00:06.243151;6;43;-1;0:00:14.548976;6;28;-1;0:00:10.909153;
103;14;57;-1;0:00:16.769579;13;35;-1;0:00:14.052865;9;157;-1;0:00:00.081326;7;139;-1;0:00:00.075958;7;3926;-1;0:00:01.209067;7;3493;1.6236780446767065;0:00:01.071904;7;99;-1;0:00:13.045841;8;92;-1;0:00:09.420845;14;57;-1;0:00:17.997095;13;35;-1;0:00:14.616427;
104;5;36;1.0128990204491959;0:00:17.694629;6;36;-1;0:00:15.344899;7;125;-1;0:00:00.075090;7;128;-1;0:00:00.072171;7;3886;-1;0:00:01.150084;7;3524;1.7402917854293523;0:00:01.045821;7;61;-1;0:00:08.516599;6;100;-1;0:00:06.749726;5;36;1.0128990204491959;0:00:18.539330;6;36;-1;0:00:16.064772;
105;7;72;-1;0:00:17.995461;7;48;-1;0:00:14.158163;7;145;-1;0:00:00.077846;8;156;-1;0:00:00.070225;7;3472;-1;0:00:01.008949;7;3214;-1;0:00:00.911900;8;108;-1;0:00:11.265772;7;69;-1;0:00:08.065853;7;72;-1;0:00:18.695236;7;48;-1;0:00:14.051123;
106;6;55;-1;0:00:15.045934;6;34;-1;0:00:12.407379;10;126;-1;0:00:00.062667;7;142;-1;0:00:00.057907;7;2726;-1;0:00:00.720625;8;2559;-1;0:00:00.640172;7;79;-1;0:00:06.367715;7;59;-1;0:00:04.714366;6;55;-1;0:00:15.719166;6;34;-1;0:00:12.540643;
107;10;60;-1;0:00:14.040972;12;45;-1;0:00:11.979349;6;136;-1;0:00:00.073535;9;140;-1;0:00:00.069877;8;3880;-1;0:00:01.226133;7;3525;-1;0:00:01.075261;5;17;1.3300563079745769;0:00:06.860829;6;90;-1;0:00:05.310810;10;60;-1;0:00:14.652359;12;45;-1;0:00:12.322280;
108;7;57;-1;0:00:15.537435;8;48;-1;0:00:13.047540;11;143;-1;0:00:00.077350;7;148;-1;0:00:00.072404;7;3925;-1;0:00:01.218967;8;3549;-1;0:00:01.043935;6;73;1.3366274729728473;0:00:10.060602;6;52;-1;0:00:07.653774;7;57;-1;0:00:16.416003;8;48;-1;0:00:13.159428;
109;5;22;-1;0:00:19.196706;5;16;-1;0:00:15.373681;6;143;-1;0:00:00.070184;7;149;-1;0:00:00.064886;7;3712;-1;0:00:01.084902;7;3451;-1;0:00:00.953402;7;122;-1;0:00:07.160388;8;57;-1;0:00:05.445643;5;22;-1;0:00:19.729027;5;16;-1;0:00:15.600463;
110;7;51;-1;0:00:13.253981;6;32;-1;0:00:10.339979;8;139;-1;0:00:00.075295;7;150;-1;0:00:00.071956;7;3625;1.3814351968157101;0:00:01.121427;6;3321;-1;0:00:00.996838;7;79;-1;0:00:06.418228;7;113;-1;0:00:04.550929;7;51;-1;0:00:13.825634;6;32;-1;0:00:10.524074;
