Imagem;SIFT_SIFT_Inliers;SIFT_SIFT_Outliers;SIFT_SIFT_Distancia;SIFT_SIFT_Tempo;SIFT_SIFT_45_Inliers;SIFT_SIFT_45_Outliers;SIFT_SIFT_45_Distancia;SIFT_SIFT_45_Tempo;ORB_ORB_Inliers;ORB_ORB_Outliers;ORB_ORB_Distancia;ORB_ORB_Tempo;ORB_ORB_45_Inliers;ORB_ORB_45_Outliers;ORB_ORB_45_Distancia;ORB_ORB_45_Tempo;AKAZE_AKAZE_Inliers;AKAZE_AKAZE_Outliers;AKAZE_AKAZE_Distancia;AKAZE_AKAZE_Tempo;AKAZE_AKAZE_45_Inliers;AKAZE_AKAZE_45_Outliers;AKAZE_AKAZE_45_Distancia;AKAZE_AKAZE_45_Tempo;FAST_BRIEF_Inliers;FAST_BRIEF_Outliers;FAST_BRIEF_Distancia;FAST_BRIEF_Tempo;FAST_BRIEF_45_Inliers;FAST_BRIEF_45_Outliers;FAST_BRIEF_45_Distancia;FAST_BRIEF_45_Tempo;FAST_SIFT_Inliers;FAST_SIFT_Outliers;FAST_SIFT_Distancia;FAST_SIFT_Tempo;FAST_SIFT_45_Inliers;FAST_SIFT_45_Outliers;FAST_SIFT_45_Distancia;FAST_SIFT_45_Tempo;
1;27;48;1.229144911004387;0:00:11.283535;24;34;1.5726359076342706;0:00:08.663805;7;127;0.9509791784989116;0:00:00.165388;7;130;-1;0:00:00.061583;152;2517;1.9269331884971166;0:00:00.645037;66;2432;2.3110765889058658;0:00:00.594917;194;317;1.9347170144584753;0:00:08.182238;7;62;-1;0:00:05.886752;27;48;1.229144911004387;0:00:11.536826;24;34;1.5726359076342706;0:00:08.712865;
2;50;45;0.9711846323894977;0:00:14.163706;32;25;0.7595979934176645;0:00:11.778045;10;135;1.230056307974577;0:00:00.068307;8;142;-1;0:00:00.062014;42;3641;2.7170029613964037;0:00:00.937513;27;3317;2.8322344014536016;0:00:00.883971;120;226;1.8645129392603574;0:00:07.931632;7;45;-1;0:00:06.350212;50;45;0.9711846323894977;0:00:14.628687;32;25;0.7595979934176645;0:00:12.206487;
3;67;52;1.2183117730616304;0:00:14.267745;66;32;1.1959117330354687;0:00:11.460320;36;130;1.442881769643302;0:00:00.071037;31;120;1.671665714336492;0:00:00.065214;646;3364;1.6877993909922835;0:00:01.132756;460;3197;1.7637808078736674;0:00:00.981050;144;114;1.9605362706520504;0:00:07.241293;6;40;-1;0:00:05.046830;67;52;1.2183117730616304;0:00:14.377267;66;32;1.1959117330354687;0:00:11.776442;
4;23;54;1.9676199088486082;0:00:08.864164;24;59;1.3470593915542277;0:00:07.214806;9;136;-1;0:00:00.064496;9;149;-1;0:00:00.059933;11;3065;1.3680570161400958;0:00:00.818874;8;2908;-1;0:00:00.765673;56;149;2.2924432920535875;0:00:05.934048;8;48;-1;0:00:04.010255;23;54;1.9676199088486082;0:00:09.151613;24;59;1.3470593915542277;0:00:07.430299;
5;76;38;1.3364871479413132;0:00:08.434151;62;46;1.2384571462123102;0:00:07.738637;7;129;-1;0:00:00.058012;8;129;-1;0:00:00.054035;422;2545;1.8916602554765198;0:00:00.742779;210;2498;1.7928610632002842;0:00:00.680747;177;129;1.8989534227751728;0:00:05.081302;0;0;-1;0:00:03.770177;76;38;1.3364871479413132;0:00:08.821235;62;46;1.2384571462123102;0:00:07.956251;
6;9;68;0.2222222222222222;0:00:17.140797;13;45;1.0049611617112293;0:00:13.447431;8;145;-1;0:00:00.073537;8;138;-1;0:00:00.063473;7;3582;-1;0:00:01.008654;7;3387;-1;0:00:00.940021;13;140;1.6838651100388335;0:00:08.907328;7;101;-1;0:00:05.892390;9;68;0.2222222222222222;0:00:17.648369;13;45;1.0049611617112293;0:00:13.499980;
7;7;63;-1;0:00:18.310956;5;30;-1;0:00:14.834261;7;126;-1;0:00:00.072277;9;130;-1;0:00:00.064572;7;3655;-1;0:00:01.024423;8;3286;-1;0:00:00.902385;54;183;1.8366087390462458;0:00:08.650802;8;70;-1;0:00:06.343973;7;63;-1;0:00:18.860379;5;30;-1;0:00:15.368188;
8;12;36;0.617851130197758;0:00:23.467286;7;39;1.8663564431779973;0:00:18.522801;8;142;-1;0:00:00.066859;7;144;-1;0:00:00.059897;46;2878;2.3488262348633215;0:00:00.747350;17;2690;-1;0:00:00.683473;69;625;2.3469200516874604;0:00:11.105909;10;60;-1;0:00:08.139811;12;36;0.617851130197758;0:00:24.278779;7;39;1.8663564431779973;0:00:18.957366;
9;39;71;1.2159738608876467;0:00:13.580083;19;74;1.2173152739206294;0:00:11.309277;8;148;-1;0:00:00.065550;9;126;-1;0:00:00.059663;14;3531;1.5046067930175702;0:00:01.006509;8;3174;1.7241440004159538;0:00:00.912780;56;163;2.0400225480952434;0:00:04.781887;7;39;-1;0:00:03.800769;39;71;1.2159738608876467;0:00:13.831279;19;74;1.2173152739206294;0:00:11.471238;
10;14;81;1.2066373019280123;0:00:13.967023;8;62;0.9785533905932737;0:00:10.794494;8;147;-1;0:00:00.063793;8;129;-1;0:00:00.059478;9;3344;-1;0:00:00.921433;8;2892;-1;0:00:00.779462;32;204;2.0593921760045397;0:00:05.747735;6;35;-1;0:00:04.444952;14;81;1.2066373019280123;0:00:14.203654;8;62;0.9785533905932737;0:00:10.755762;
