Imagem;SIFT_SIFT_Inliers;SIFT_SIFT_Outliers;SIFT_SIFT_Distancia;SIFT_SIFT_Tempo;SIFT_SIFT_45_Inliers;SIFT_SIFT_45_Outliers;SIFT_SIFT_45_Distancia;SIFT_SIFT_45_Tempo;ORB_ORB_Inliers;ORB_ORB_Outliers;ORB_ORB_Distancia;ORB_ORB_Tempo;ORB_ORB_45_Inliers;ORB_ORB_45_Outliers;ORB_ORB_45_Distancia;ORB_ORB_45_Tempo;AKAZE_AKAZE_Inliers;AKAZE_AKAZE_Outliers;AKAZE_AKAZE_Distancia;AKAZE_AKAZE_Tempo;AKAZE_AKAZE_45_Inliers;AKAZE_AKAZE_45_Outliers;AKAZE_AKAZE_45_Distancia;AKAZE_AKAZE_45_Tempo;FAST_BRIEF_Inliers;FAST_BRIEF_Outliers;FAST_BRIEF_Distancia;FAST_BRIEF_Tempo;FAST_BRIEF_45_Inliers;FAST_BRIEF_45_Outliers;FAST_BRIEF_45_Distancia;FAST_BRIEF_45_Tempo;FAST_SIFT_Inliers;FAST_SIFT_Outliers;FAST_SIFT_Distancia;FAST_SIFT_Tempo;FAST_SIFT_45_Inliers;FAST_SIFT_45_Outliers;FAST_SIFT_45_Distancia;FAST_SIFT_45_Tempo;
101;13;53;-1;0:00:26.390413;12;48;-1;0:00:22.340550;9;125;-1;0:00:00.234165;11;136;-1;0:00:00.083288;8;4420;2.0344497066467446;0:00:01.381015;7;4055;-1;0:00:01.482379;8;84;-1;0:00:13.471160;8;144;-1;0:00:09.150008;13;53;-1;0:00:26.740306;12;48;-1;0:00:21.362167;
102;6;43;-1;0:00:14.594565;6;28;-1;0:00:11.899290;9;153;-1;0:00:00.142001;7;149;-1;0:00:00.110276;7;3552;-1;0:00:01.246366;7;3291;-1;0:00:00.961519;6;125;-1;0:00:09.399457;5;31;-1;0:00:06.361871;6;43;-1;0:00:14.913615;6;28;-1;0:00:11.173190;
103;14;57;-1;0:00:17.319708;13;35;-1;0:00:14.353488;9;157;-1;0:00:00.082591;7;139;-1;0:00:00.075745;7;3926;-1;0:00:01.219741;7;3493;1.6236780446767065;0:00:01.066989;7;99;-1;0:00:12.786339;8;92;-1;0:00:09.349573;14;57;-1;0:00:18.344198;13;35;-1;0:00:14.622198;
104;5;36;1.0128990204491959;0:00:17.706304;6;36;-1;0:00:15.272691;7;125;-1;0:00:00.076163;7;128;-1;0:00:00.071168;7;3886;-1;0:00:01.166759;7;3524;1.7402917854293523;0:00:01.052075;7;61;-1;0:00:08.464492;6;100;-1;0:00:06.787495;5;36;1.0128990204491959;0:00:18.308592;6;36;-1;0:00:15.654594;
105;7;72;-1;0:00:16.937014;7;48;-1;0:00:13.456300;7;145;-1;0:00:00.075446;8;156;-1;0:00:00.070702;7;3472;-1;0:00:00.985344;7;3214;-1;0:00:00.873786;8;108;-1;0:00:10.480504;7;69;-1;0:00:07.542526;7;72;-1;0:00:17.894155;7;48;-1;0:00:13.747641;
106;6;55;-1;0:00:14.918086;6;34;-1;0:00:12.262477;10;126;-1;0:00:00.062288;7;142;-1;0:00:00.056579;7;2726;-1;0:00:00.721969;8;2559;-1;0:00:00.648991;7;79;-1;0:00:06.346991;7;59;-1;0:00:04.579812;6;55;-1;0:00:15.659338;6;34;-1;0:00:12.500298;
107;10;60;-1;0:00:13.939165;12;45;-1;0:00:11.827771;6;136;-1;0:00:00.073139;9;140;-1;0:00:00.069197;8;3880;-1;0:00:01.202372;7;3525;-1;0:00:01.062586;5;17;1.3300563079745769;0:00:06.714453;6;90;-1;0:00:05.111560;10;60;-1;0:00:14.444464;12;45;-1;0:00:12.184513;
108;7;57;-1;0:00:15.327274;8;48;-1;0:00:12.857231;11;143;-1;0:00:00.077081;7;148;-1;0:00:00.071774;7;3925;-1;0:00:01.254037;8;3549;-1;0:00:01.040342;6;73;1.3366274729728473;0:00:09.931962;6;52;-1;0:00:07.739322;7;57;-1;0:00:16.063736;8;48;-1;0:00:13.355322;
109;5;22;-1;0:00:19.773218;5;16;-1;0:00:15.798907;6;143;-1;0:00:00.071339;7;149;-1;0:00:00.064851;7;3712;-1;0:00:01.105093;7;3451;-1;0:00:00.958208;7;122;-1;0:00:07.203874;8;57;-1;0:00:05.379851;5;22;-1;0:00:20.329437;5;16;-1;0:00:16.024731;
110;7;51;-1;0:00:13.299292;6;32;-1;0:00:10.380479;8;139;-1;0:00:00.075538;7;150;-1;0:00:00.071736;7;3625;1.3814351968157101;0:00:01.140396;6;3321;-1;0:00:01.020729;7;79;-1;0:00:06.574164;7;113;-1;0:00:04.699300;7;51;-1;0:00:13.957522;6;32;-1;0:00:10.711538;
